,Ref,Credit_Score,Final_Grade,Term,Net_Advance,APR,Loan_Type,Mosaic,Mosaic_Class,Time_at_Address,Residential_Status,Telephone_Indicator,Number_of_Dependants,Marital_Status,Gender,Time_in_Employment,Employment_Status,Employment_Type,Permanent_Employee,Income_Range,Current_Account,ACCESS_Card,VISA_Card,American_Express,Diners_Card,Cheque_Guarantee,Other_Credit_Store_Card,Time_with_Bank,Value_of_Property,Outstanding_Mortgage_Bal,Total_Outstanding_Balances,Bureau_Data___Monthly_Other_Co_R,Worst_History_CT,Payment_Method,Age,Total_outstanding_balance__mortg,Public_info_CCJ_ban,Public_info_CCJ_value,Time_since_most_recent_Public_In,CAIS_8_9_total,Worst_status_L6m,Worst_CUrrent_Status,Status_3s_L6m,Searches___Total___L6m,Years_on_ER_for_SP,Bankruptcy_Detected__SP_,Total___outstanding_CCJ_s,Total_outstanding_balance___excl,Total___of_accounts,CIFAS_detected,Time_since_most_recent_outstandi,Insurance_Description,PPI,code,prdt_desc,category,PPI_SINGLE,PPI_JOINT,PPI_LCI
1396,3596,845,B,24,1500.0,29.9,UnSecured,37,6,254,L,Y,0,S,M,38,P,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,146,120000,0,975,0,0,D,30,0,0,0,99,0,0,0,0,1,12,N,0,10,1,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1397,3597,1009,X,60,6200.0,9.9,UnSecured,22,4,408,H,Y,0,W,F,5,R,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,408,200000,0,2057,5,0,D,69,0,0,0,99,0,0,0,0,1,27,N,0,21,9,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1398,3598,796,D,60,6000.0,28.4,UnSecured,0,1,21,H,Y,0,S,M,90,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,189,120000,106000,119338,711,0,D,29,109,0,0,99,0,3,3,4,1,1,N,0,123,8,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1399,3602,960,X,60,12000.0,7.4,UnSecured,43,7,223,H,Y,0,M,M,168,P,F,P,4,TRUE,FALSE,TRUE ,TRUE ,FALSE,TRUE,FALSE ,168,100000,55000,73726,541,0,D,54,68,2,13,23,4,0,0,0,5,16,N,2,77,6,N,23,Life & CI                 ,1,714.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
1400,3603,864,B,60,3500.0,33.9,UnSecured,41,7,182,T,Y,0,M,M,86,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,218,120000,0,26466,633,0,D,49,0,2,6,18,63,0,0,0,9,0,N,2,265,9,N,18,Single                    ,1,717.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
1401,3605,807,D,36,3000.0,26.9,UnSecured,44,8,338,H,Y,2,M,M,434,S,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,146,150000,112890,84023,770,0,D,55,73,0,0,99,0,2,2,0,5,28,N,0,122,9,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1402,3606,877,A,60,5500.0,17.9,UnSecured,42,7,99,T,Y,2,S,F,57,P,F,P,3,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,141,120000,0,14757,218,0,D,35,0,0,0,99,0,1,0,0,0,8,N,0,148,8,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1403,3607,812,D,120,10000.0,15.9,secured  ,37,6,134,H,Y,0,S,F,50,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,194,75000,39149,46464,276,0,D,40,41,2,19,4,17,4,4,2,4,0,N,2,74,3,N,4,Single                    ,1,715.0,LASU,Single,1,0,0
1404,3611,885,A,60,7000.0,16.9,UnSecured,46,8,26,T,Y,2,M,M,97,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,274,120000,0,2693,0,0,D,40,0,0,0,99,0,0,0,0,1,1,N,0,27,2,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1406,3614,962,X,60,10000.0,6.9,UnSecured,11,2,171,H,Y,0,M,M,143,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,91,175000,0,3161,259,5,D,67,0,0,0,99,0,0,0,0,2,10,N,0,32,4,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1407,3615,821,C,48,3000.0,32.9,UnSecured,47,8,11,T,Y,2,S,F,60,D,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,192,120000,0,959,23,0,D,39,0,0,0,99,1,3,0,1,1,0,N,0,10,7,N,99,Life & CI                 ,1,714.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
1408,3620,890,A,60,3800.0,22.9,UnSecured,39,6,96,T,Y,0,M,F,87,D,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,93,120000,0,3535,0,0,D,59,0,0,0,99,0,0,0,0,1,4,N,0,36,1,N,99,Life & CI                 ,1,714.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
1409,3621,1031,X,60,5000.0,7.9,UnSecured,44,8,324,H,Y,0,M,F,144,R,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,168,100000,0,7371,157,5,D,45,0,0,0,99,26,0,0,0,5,14,N,0,74,3,N,99,Life & Critical Illn      ,1,748.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1410,3624,856,B,37,4700.0,20.8,UnSecured,18,3,48,L,Y,0,S,M,67,S,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,258,120000,0,29778,438,0,D,31,0,0,0,99,8,0,0,0,2,9,N,0,298,4,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
1411,3626,759,F,60,2200.0,40.9,UnSecured,13,2,84,L,Y,0,S,M,42,P,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,180,120000,0,15886,361,0,D,25,0,0,0,99,12,0,0,0,2,0,N,0,159,3,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1413,3630,947,X,60,3150.0,16.9,UnSecured,29,5,16,H,Y,0,S,M,72,G,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,348,165000,145000,148061,1018,0,D,30,148,0,0,99,0,0,0,0,1,1,N,0,20,5,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1414,3632,732,O,120,24000.0,11.9,secured  ,13,2,22,H,Y,0,M,M,154,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,287,108000,51736,134666,636,1,D,35,105,2,12,28,100,1,1,0,0,4,N,2,312,5,N,28,Single                    ,1,715.0,LASU,Single,1,0,0
1416,3634,910,A,60,10000.0,9.9,UnSecured,12,2,178,H,Y,0,M,M,42,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,179,150000,17000,9947,100,0,D,44,0,0,0,99,17,1,0,0,0,0,N,0,100,8,N,99,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
1417,3635,965,X,48,3000.0,18.9,UnSecured,40,6,72,T,Y,0,M,M,86,S,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,225,120000,0,6243,347,5,D,48,0,0,0,99,0,0,0,0,1,3,N,0,63,8,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
1420,3641,890,A,60,6000.0,16.9,UnSecured,25,4,52,H,Y,2,M,M,24,P,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,72,119000,48610,58791,598,5,D,40,50,0,0,99,0,1,0,0,2,4,N,0,102,7,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1422,3647,856,B,60,5000.0,17.9,UnSecured,0,1,1,H,Y,1,D,F,118,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,158,121995,116000,158536,363,0,D,47,118,0,0,99,0,0,0,0,2,0,N,0,421,8,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1423,3649,962,X,24,1500.0,18.9,UnSecured,42,7,216,H,Y,0,D,M,165,D,F,P,1,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,240,105000,42987,43875,194,0,D,55,44,0,0,99,0,0,0,0,1,18,N,0,9,2,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1425,3654,833,C,36,2000.0,28.9,UnSecured,22,4,264,L,N,0,S,F,84,P,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,84,120000,0,4502,189,4,D,24,0,0,0,99,0,0,0,0,7,6,N,0,46,9,N,99,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
1427,3660,787,D,42,2150.0,29.9,UnSecured,22,4,84,T,Y,0,S,F,208,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,82,120000,0,19587,280,0,D,49,0,0,0,99,0,0,3,1,0,5,N,0,196,6,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
1428,3661,1072,X,60,6000.0,8.9,UnSecured,17,3,197,H,Y,0,M,M,201,P,F,P,6,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,228,125000,49041,70471,518,0,D,58,51,1,14,71,0,1,0,0,1,14,N,0,215,3,N,99,Single                    ,1,717.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
1429,3665,1036,X,60,3000.0,21.9,UnSecured,42,7,120,H,Y,0,M,F,110,R,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,37,150000,25464,25464,409,5,D,54,27,0,0,99,0,0,0,0,1,11,N,0,0,1,N,99,Life & Critical Illn      ,1,748.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1430,3669,709,R,36,1500.0,43.4,UnSecured,41,7,48,T,Y,2,S,F,66,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,192,120000,0,877,0,5,D,29,0,2,7,2,0,2,1,0,2,4,N,1,9,5,N,2,LASU                      ,1,750.0,LASU,Single,1,0,0
1432,3674,789,D,36,1500.0,29.9,UnSecured,53,10,8,T,Y,0,M,M,42,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,126,120000,0,1870,58,4,D,28,0,0,0,99,0,0,0,0,2,0,N,0,19,5,N,99,Joint                     ,1,721.0,1st Cust - LASU / 2nd Cust - LASCI,Joint,0,1,0
1433,3678,982,X,84,7000.0,10.9,secured  ,23,4,168,H,Y,0,D,F,168,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,288,201000,98186,148199,1686,5,D,56,100,0,0,99,0,0,0,0,4,13,N,0,501,9,N,99,Life & Critical Illn      ,1,748.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1434,3679,799,D,60,5000.0,23.9,UnSecured,37,6,144,T,Y,0,S,F,84,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,187,120000,0,3994,0,0,D,30,0,0,0,99,2,0,0,0,0,9,N,0,40,3,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
1435,3680,948,X,60,5000.0,8.9,UnSecured,22,4,18,H,Y,1,M,M,25,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,155000,133787,148827,1140,0,D,42,135,0,0,99,0,0,0,0,0,1,N,0,151,9,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1436,3684,940,A,60,6500.0,11.9,UnSecured,59,11,360,T,Y,0,M,M,30,P,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,194,120000,0,2532,0,0,D,61,0,0,0,99,0,0,0,0,1,18,N,0,26,3,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1437,3686,678,R,60,1500.0,29.9,UnSecured,43,7,10,H,Y,0,D,F,72,G,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,12,140000,86213,172642,974,5,D,38,174,2,137,23,238,0,0,0,9,1,N,2,3,9,N,23,LASU                      ,1,750.0,LASU,Single,1,0,0
1442,3694,908,A,60,2900.0,19.9,UnSecured,23,4,117,H,Y,2,D,F,81,P,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,81,125000,85000,5286,167,0,D,34,0,0,0,99,0,0,0,0,4,9,N,0,53,3,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1443,3695,823,C,60,4200.0,24.9,UnSecured,13,2,67,H,Y,0,M,F,138,G,F,P,4,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,67,112000,88713,94057,710,0,D,45,90,0,0,99,0,4,0,2,3,5,N,0,54,9,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1445,3711,804,D,60,2000.0,19.4,UnSecured,41,7,3,H,Y,1,M,M,16,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,84,102000,0,82181,641,5,D,50,82,0,0,99,15,1,0,0,4,0,N,0,16,3,N,99,LASU                      ,1,750.0,LASU,Single,1,0,0
1446,3714,968,X,60,5000.0,13.9,UnSecured,47,8,192,H,Y,1,M,M,282,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,192,170000,118384,122062,697,5,D,66,120,0,0,99,59,1,1,0,4,14,N,0,37,6,N,99,Joint Life & Critica      ,1,749.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
1447,3718,980,X,59,2000.0,18.9,UnSecured,40,6,319,H,Y,0,S,M,60,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,193,90000,9031,25536,0,0,D,49,0,0,0,99,0,0,0,0,1,0,N,0,256,3,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1448,3721,1020,X,120,21000.0,7.4,secured  ,22,4,352,H,Y,0,M,M,34,P,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,174,174000,68099,92616,283,4,D,62,70,0,0,99,0,0,0,0,1,28,N,0,246,3,N,99,Single                    ,1,717.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
1449,3724,747,F,28,3100.0,36.9,UnSecured,41,7,345,T,Y,1,M,F,186,G,F,P,6,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,186,120000,0,19185,361,0,D,47,0,1,8,54,0,2,2,0,4,3,N,1,192,4,N,54,Single                    ,1,715.0,LASU,Single,1,0,0
1451,3739,820,C,120,10000.0,15.4,secured  ,37,6,58,H,Y,3,M,M,41,P,F,P,5,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,245,98000,90928,97503,599,4,D,34,92,1,1,24,75,0,0,0,9,0,N,1,66,4,N,24,Single                    ,1,717.0,1st Cust - LASU / 2nd Cust - LCI,Single,1,0,0
1452,3740,772,E,85,5000.0,20.9,secured  ,51,10,27,H,Y,0,S,F,11,P,F,P,3,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,130,114000,95732,401,0,5,D,25,0,0,0,99,2,0,1,0,3,0,N,0,5,4,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1453,3741,971,X,120,15000.0,9.9,secured  ,17,3,252,H,Y,2,D,F,4,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,48,209000,77381,83509,805,5,D,43,79,0,0,99,0,0,0,0,2,21,N,0,62,8,N,99,LASCI                     ,1,751.0,LASCI,Single,1,0,0
1454,3742,985,X,96,15000.0,8.9,secured  ,7,1,240,H,Y,1,M,M,120,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,240,274000,39813,63802,1022,5,D,60,41,0,0,99,0,1,0,0,3,20,N,0,240,9,N,99,Life & Critical Illn      ,1,748.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1455,3745,782,E,60,4155.0,7.9,UnSecured,52,10,91,T,Y,0,S,M,55,P,F,P,2,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,115,120000,0,7124,0,0,D,47,0,0,0,99,0,0,0,0,2,4,N,0,72,6,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1458,3755,767,E,60,3500.0,29.9,UnSecured,55,10,190,L,Y,0,S,M,118,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,107,120000,0,3152,203,0,D,26,0,0,0,99,27,1,0,0,6,7,N,0,32,9,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1459,3759,859,B,60,9000.0,18.9,UnSecured,25,4,2,T,Y,1,M,F,56,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,314,120000,0,18253,0,4,D,53,0,0,0,99,0,1,1,0,2,0,N,0,183,9,N,99,Life & CI                 ,1,714.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
1461,3763,865,B,60,4000.0,22.9,UnSecured,59,11,2,H,Y,0,D,M,58,P,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,46,500000,0,5137,0,0,D,47,0,0,0,99,0,0,0,0,0,0,N,0,52,2,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1462,3764,971,X,60,7300.0,7.9,UnSecured,46,8,72,H,Y,0,S,M,68,P,F,P,5,TRUE,TRUE ,TRUE ,TRUE ,FALSE,TRUE,TRUE  ,198,210000,159047,166952,873,0,D,37,161,0,0,99,0,0,0,0,1,6,N,0,80,8,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1463,3765,840,B,60,7500.0,15.9,UnSecured,47,8,375,H,Y,0,M,M,48,P,F,P,5,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,TRUE  ,250,165000,143480,150036,1095,0,D,54,145,0,0,99,18,1,1,0,1,31,N,0,66,3,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1465,3767,644,S,36,1000.0,44.9,UnSecured,42,7,137,H,Y,4,M,M,5,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,118,89000,76592,106335,1079,0,D,39,78,0,0,99,0,1,1,0,7,10,N,0,298,9,N,99,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
1467,3771,789,D,48,5000.0,32.9,UnSecured,3,1,36,H,Y,4,M,M,60,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,325000,271151,275175,1734,5,D,40,273,0,0,99,36,6,6,5,4,1,N,0,41,6,N,99,Life & Critical Illn      ,1,748.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1468,3772,756,F,36,3000.0,34.9,UnSecured,42,7,240,H,N,0,S,M,48,P,F,P,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE  ,72,90000,60634,60634,490,5,D,23,62,1,4,34,49,1,1,0,4,4,N,1,1,3,N,34,Single                    ,1,715.0,LASU,Single,1,0,0
1470,3777,786,E,60,5000.0,24.9,UnSecured,41,7,114,H,Y,1,M,M,156,S,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,192,105000,46182,72928,901,5,D,47,48,0,0,99,0,0,0,0,4,9,N,0,268,6,N,99,LASCI                     ,1,751.0,LASCI,Single,1,0,0
1471,3778,870,B,84,6500.0,12.4,secured  ,18,3,306,H,Y,0,S,M,97,S,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,TRUE  ,61,155000,18665,20035,222,0,D,51,20,0,0,99,1,1,0,0,2,23,N,0,14,5,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
1473,3781,937,A,60,1000.0,24.9,UnSecured,42,7,132,H,Y,0,S,F,141,P,F,P,2,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,TRUE  ,156,54840,60699,61036,410,5,D,46,62,0,0,99,18,0,0,0,1,12,N,0,4,3,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1474,3782,889,A,60,6500.0,14.4,UnSecured,42,7,344,T,Y,0,S,F,186,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,318,120000,0,17552,220,0,D,51,0,2,7,30,0,0,0,0,2,30,N,2,176,4,N,30,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
1475,3788,1057,X,60,2800.0,18.9,UnSecured,19,3,360,H,Y,0,M,M,371,P,F,P,5,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,287,200000,0,6580,170,0,D,56,0,0,0,99,0,0,0,0,0,24,N,0,66,3,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1476,3790,1031,X,84,6000.0,10.9,secured  ,46,8,180,H,Y,0,M,M,60,G,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,84,131000,63769,81809,699,5,D,54,65,0,0,99,0,3,1,1,1,12,N,0,181,8,N,99,Joint                     ,1,722.0,1st Cust - LASCI / 2nd Cust - LASU,Joint,0,1,0
1477,3793,953,X,60,5000.0,13.9,UnSecured,44,8,105,T,Y,0,M,M,26,R,F,P,2,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,385,120000,0,2171,0,0,D,68,0,0,0,99,0,0,0,0,0,8,N,0,22,1,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1479,3799,960,X,60,7700.0,7.9,UnSecured,23,4,107,H,Y,0,M,M,347,S,F,P,6,TRUE,TRUE ,FALSE,FALSE,FALSE,FALS,FALSE ,143,150000,63000,71203,487,0,D,50,61,0,0,99,0,0,0,0,1,9,N,0,119,9,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1481,3805,874,A,120,10000.0,8.9,secured  ,22,4,130,H,Y,0,M,M,82,S,F,P,5,TRUE,TRUE ,FALSE,FALSE,FALSE,TRUE,FALSE ,214,99000,77960,84203,553,0,D,36,79,0,0,99,0,2,0,0,7,9,N,0,64,8,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1482,3807,825,C,60,4550.0,18.9,UnSecured,43,7,192,H,Y,0,D,F,100,P,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,TRUE  ,76,123000,85338,103001,755,0,D,47,87,0,0,99,1,1,1,0,2,15,N,0,177,9,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
1484,3815,835,C,60,5000.0,19.9,UnSecured,37,6,94,H,Y,2,M,M,33,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,103,87000,70761,81797,623,5,D,33,72,1,2,72,41,0,0,0,6,7,N,1,111,7,N,72,Joint                     ,1,716.0,LASU JOINT,Joint,0,1,0
1485,3816,789,D,60,4500.0,23.9,UnSecured,48,9,3,T,N,0,D,M,24,P,F,P,3,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,60,120000,0,2445,0,0,D,42,0,0,0,99,0,0,0,0,4,0,N,0,25,3,N,99,Life & CI                 ,1,713.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1486,3819,950,X,48,2300.0,19.9,UnSecured,42,7,360,T,Y,0,M,M,204,P,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE ,313,120000,0,1054,0,0,D,65,0,0,0,99,0,0,0,0,0,24,N,0,11,1,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1487,3822,998,X,48,5000.0,8.9,UnSecured,45,8,15,H,Y,2,M,M,71,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,TRUE  ,215,190000,60082,68738,521,0,D,46,62,0,0,99,0,0,0,0,2,0,N,0,87,9,N,99,Life & CI                 ,1,714.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
1488,3825,892,A,60,7500.0,9.9,UnSecured,43,7,58,H,Y,1,M,M,120,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,FALS,FALSE ,74,150000,128191,144445,999,0,D,49,130,0,0,99,0,0,0,0,5,5,N,0,163,9,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1491,3830,839,B,60,3000.0,19.9,UnSecured,17,3,18,T,Y,0,S,M,139,P,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,TRUE  ,321,120000,0,18822,319,0,D,63,0,0,0,99,0,1,0,0,1,0,N,0,189,5,N,99,Single                    ,1,715.0,LASU,Single,1,0,0
1493,3837,878,A,60,5000.0,16.9,UnSecured,13,2,108,H,Y,0,D,M,192,G,F,P,4,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,120,75000,52000,65968,777,5,D,57,56,0,0,99,0,3,2,3,1,7,N,0,119,5,N,99,Single                    ,1,718.0,LASCI,Single,1,0,0
1495,3842,865,B,120,20000.0,9.4,secured  ,0,1,13,H,Y,1,S,M,84,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,200,212000,121121,146278,931,4,D,43,123,1,10,64,314,0,0,0,3,0,N,1,252,6,N,64,Single                    ,1,715.0,LASU,Single,1,0,0
1496,3843,740,F,60,1100.0,36.9,UnSecured,24,4,264,H,Y,1,D,F,65,P,F,P,2,TRUE,FALSE,FALSE,FALSE,FALSE,FALS,FALSE ,66,130000,53969,54404,430,0,D,49,55,2,4,14,9,0,0,0,1,22,N,2,5,3,N,14,Single                    ,1,715.0,LASU,Single,1,0,0
1497,3849,848,B,60,12000.0,11.4,secured  ,20,3,180,H,Y,0,S,F,36,P,F,P,6,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,330,281000,232126,232329,1385,5,D,27,234,0,0,99,0,1,1,0,3,5,N,0,3,3,N,99,Life & Critical Illn      ,1,748.0,LIFE & CRITICAL ILLNESS,LCI,0,0,1
1499,3854,822,C,48,3000.0,29.9,UnSecured,19,3,168,H,Y,0,M,M,36,P,F,P,5,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,168,130000,82734,85969,643,5,D,45,84,2,7,19,8,1,1,0,9,0,N,1,34,8,N,52,LASU                      ,1,750.0,LASU,Single,1,0,0
1501,3856,754,F,49,3000.0,30.9,UnSecured,26,4,237,T,Y,0,W,F,297,R,F,P,3,TRUE,TRUE ,TRUE ,FALSE,FALSE,TRUE,FALSE ,489,120000,0,8970,161,0,D,72,0,2,19,60,24,2,1,0,1,3,N,0,90,9,N,99,Life & CI                 ,1,714.0,JOINT LIFE & CRITICAL ILLNESS,Single,1,0,0
1502,3860,787,D,120,10000.0,12.9,secured  ,22,4,193,H,N,0,D,F,96,P,F,P,3,TRUE,FALSE,TRUE ,FALSE,FALSE,TRUE,FALSE ,36,114000,45010,45010,447,5,D,52,47,3,9,12,43,0,0,0,1,2,N,3,0,1,N,12,Single                    ,1,718.0,LASCI,Single,1,0,0
